Timestamp,Full Name,Email Address,"Cryptocurrency Wallet Address (For verification/rewards, if applicable)","Overall, how satisfied are you with StipeStream?",Which features of StipeStream do you use most frequently?,Please rate the following aspects of your experience: [Content Quality/Variety],Please rate the following aspects of your experience: [Platform Reliability (Uptime/Stability)],Please rate the following aspects of your experience: [Streaming Speed/Buffering],Please rate the following aspects of your experience: [Ease of Wallet Integration],Please rate the following aspects of your experience: [Value for Money],"If you could only change one thing about StipeStream, what would it be?",Would you recommend StipeStream to a friend or colleague?
4/28/2026 12:56:35,Elena Rodriguez,elena.rod@webmail.com,GC5HP3IRHO6EHJQF3AAPTJCTD7E7H7IA4THR4B3G4GPIS67M3KFMKDKT,4,"Real-time Streaming, Content Library Access (VOD)",Excellent (5),Excellent (5),Excellent (5),Very Good (4),Very Good (4),I love the streaming speed.,"Yes, definitely"
4/28/2026 12:56:43,Robert Taylor,rtaylor.dev@gmail.com,GDC2FARLUU4UHGY3DWQW4DWSOPCDGI5TFMIKE4HEUFY4DS4QYCPLA7B6,5,"Real-time Streaming, User Interface/Navigation",Excellent (5),Very Good (4),Very Good (4),Very Good (4),Very Good (4),"Nothing to change, it works great.",Maybe
4/28/2026 12:56:53,Linda Nguyen,lnguyen.stellar@yahoo.com,GCHT7QGJH22UPY7IGKR45IFXT6Y5ZTNCPNQKQL5YHUV6LBLJKEOEJS4P,4,"Real-time Streaming, Content Library Access (VOD)",Very Good (4),Excellent (5),Very Good (4),Very Good (4),Excellent (5),Excellent platform for streaming.,"Yes, definitely"
4/28/2026 12:57:00,William Smith,wsmith.finance@gmail.com,GDMVY5CPSEY6IDQBEX7KMJSOVFNHMOMT5QY4MTOCSDFORV24AOFYDDGS,5,"Real-time Streaming, Staking/Token Rewards Interface",Very Good (4),Excellent (5),Excellent (5),Very Good (4),Very Good (4),The platform is reliable but needs more assets.,"Yes, definitely"
4/28/2026 12:57:08,Elizabeth Brown,liz.brown@outlook.com,GCF2WGTHROHG2MK2BRC4CLMQPENFD4ZS4YGGLQHKNZCJ6BVR6PEU62FF,4,"Real-time Streaming, User Interface/Navigation",Very Good (4),Excellent (5),Excellent (5),Excellent (5),Excellent (5),Great job on the interface.,Maybe
4/28/2026 12:57:19,Joseph Martinez,jmartinez.test@gmail.com,GC6TDPECDACCOYUQ3N2DC5AI6BARWGKK7CUQ3F6W6SZT34KSZ6PXUCZA,5,"Real-time Streaming, Content Library Access (VOD), Staking/Token Rewards Interface",Excellent (5),Excellent (5),Very Good (4),Very Good (4),Very Good (4),Solid platform for testnet rewards.,Maybe
4/28/2026 12:57:30,Susan Miller,smiller.crypto@me.com,GBFAIH5WKAJQ77NG6BZG7TGVGXHPX4SQLIJ7BENJMCVCZSUZPSISCLU5,5,"Real-time Streaming, Content Library Access (VOD)",Very Good (4),Excellent (5),Excellent (5),Very Good (4),Excellent (5),I enjoy using the content library.,Maybe
4/28/2026 12:57:44,Thomas Davis,tdavis.explorer@gmail.com,GAIH3ULLFQ4DGSECF2AR555KZ4KNDGEKN4AFI4SU2M7B43MGK3QJZNSR,4,"Real-time Streaming, Staking/Token Rewards Interface",Excellent (5),Excellent (5),Very Good (4),Excellent (5),Excellent (5),The explorer integration is very helpful.,"Yes, definitely"
4/28/2026 12:57:53,Jessica Anderson,janderson@web.de,GATXZXYXXG4ARRZC4G7KYK3OXQFSR4DWPXWJ7R6TEG3J6LPUFDV745EY,5,"Real-time Streaming, Content Library Access (VOD)",Excellent (5),Excellent (5),Very Good (4),Excellent (5),Very Good (4),More educational content for new users.,Maybe
4/28/2026 12:58:01,Charles Wilson,cwilson.node@gmail.com,GDYLAPA3DZGK2EYZFV73WR4THTVQAQ3HWT5ROIS7EHNUYTJTDRY7YS2K,5,"Real-time Streaming, Staking/Token Rewards Interface, User Interface/Navigation",Very Good (4),Excellent (5),Very Good (4),Very Good (4),Very Good (4),Great integration with Stellar Expert.,"Yes, definitely"
4/28/2026 12:58:10,Karen Moore,kmoore.stellar@outlook.com,GC4B6F5NEWBSPVN4PB4XT6LZRJTKXEYQJFWMFEEYW7YV6DAXTIJMZAYT,4,"Real-time Streaming, Content Library Access (VOD)",Very Good (4),Very Good (4),Very Good (4),Excellent (5),Very Good (4),Smooth streaming experience.,Maybe
4/28/2026 12:58:21,Christopher Taylor,ctaylor.dev@gmail.com,GAXO7ABE46JTYLXLAQ2AYO5GVLLS3GJPQYAB2KJQGYENPORH3MSTIX5A,4,"Real-time Streaming, User Interface/Navigation",Excellent (5),Excellent (5),Very Good (4),Excellent (5),Very Good (4),Reliable and fast.,"Yes, definitely"
4/28/2026 12:58:30,Patricia Thomas,pthomas.crypto@gmail.com,GA4VPAFGQH4WZYUPW3IKJAUM7R75PZ5YRVGCZWLEX3B2XJ46VFOHAZ7F,5,"Real-time Streaming, Content Library Access (VOD)",Excellent (5),Excellent (5),Excellent (5),Very Good (4),Excellent (5),User friendly and efficient.,Maybe
4/28/2026 12:58:39,Daniel Hernandez,dhernandez.test@yahoo.com,GCBQ4SSK5E7RYAPZ3I2KGGSDDYSXHJFZPO3TB7A5W3YWUMTPAIC5IIET,4,"Real-time Streaming, Content Library Access (VOD)",Excellent (5),Excellent (5),Very Good (4),Very Good (4),Very Good (4),More content would be nice.,"Yes, definitely"
4/28/2026 12:58:50,Jennifer Moore,jmoore.web3@gmail.com,GCTBO3VWM35LIZHI5EDJWHFD5NXWP57PC6R2MQDTQ2VSWORBLYI7ICOL,4,"Real-time Streaming, Staking/Token Rewards Interface",Excellent (5),Very Good (4),Excellent (5),Very Good (4),Excellent (5),Very satisfied with the rewards interface.,"Yes, definitely"
4/28/2026 12:59:01,Matthew Martin,mmartin.stellar@gmail.com,GAZNFDTOVRGTIMRI6MCW7O5MTVD5U7WVEM4J4WFDJ4AYG7TPCFBNY4I7,4,"Real-time Streaming, Content Library Access (VOD)",Excellent (5),Very Good (4),Excellent (5),Very Good (4),Excellent (5),Nothing to change.,"Yes, definitely"
4/28/2026 12:59:11,Margaret Jackson,mjackson.dev@outlook.com,GAPL2YYZ2QMWNBRXZEWFMBPHXYVCDKKAXPSYJM5OXDN2OR5MCFEWIZ3K,4,"Real-time Streaming, User Interface/Navigation",Very Good (4),Excellent (5),Very Good (4),Very Good (4),Very Good (4),Excellent documentation.,"Yes, definitely"
4/28/2026 12:59:23,Anthony Thompson,athompson.test@gmail.com,GDWUQA72TDYI3S26A3BQVMDNYTRQ2TMTNJBTFK3P6JBJBI3B4LT2FBNO,5,"Real-time Streaming, Content Library Access (VOD)",Very Good (4),Very Good (4),Very Good (4),Excellent (5),Very Good (4),The streaming speed is top notch.,Maybe
4/28/2026 12:59:33,Sandra White,swhite.crypto@gmail.com,GAR4HFNT36OZFQQ2RHVESYIXSNX6Z5VGEPI2Q3D5DY3JWAIL7ZZAQG73,4,"Real-time Streaming, Staking/Token Rewards Interface",Very Good (4),Very Good (4),Very Good (4),Excellent (5),Excellent (5),Everything is perfect.,Maybe
4/28/2026 12:59:44,Mark Lopez,mlopez.finance@gmail.com,GD4QV5FIWDOJ2UX7NJ2ZO3CQMVVES7SLJMR73YJ27D6CSWDL4RCZ45LU,4,"Real-time Streaming, Staking/Token Rewards Interface",Excellent (5),Very Good (4),Very Good (4),Excellent (5),Excellent (5),Happy with the service.,"Yes, definitely"
4/28/2026 13:05:08,James Smith,james.smith@gmail.com,GB5FCYPSK4ET44OVBXLJHWFW5LNG3ZLPUFSJTJBCGIM43JIU4RGYRLCH,4,User Interface/Navigation,Good (3),Very Good (4),Very Good (4),Excellent (5),Good (3),I would like to see more dark mode options and faster transaction notifications.,"Yes, definitely"
4/28/2026 13:05:39,Mary Johnson,mary.johnson@yahoo.com,GBTORQK3ZR3RPJF4WTTSH5KVDOAZ4BJI7PD2ECLSBDNHRG4ICNC4JJZV,5,Real-time Streaming,Excellent (5),Excellent (5),Very Good (4),Excellent (5),Excellent (5),The platform is amazing! Maybe add some more rewards for early testers.,"Yes, definitely"
4/28/2026 13:06:08,Robert Williams,robert.williams@outlook.com,GAXF4ZY2H2OZF5ETTJR4MPSNTNCPMWD7ZSLRE242ENFHSLCWCDUE3A7A,3,Content Library Access (VOD),Good (3),Very Good (4),Very Good (4),Good (3),Good (3),"The interface is okay, but it could be more intuitive. I like the wallet integration though.",Maybe
4/28/2026 13:06:38,Patricia Brown,patricia.brown@gmail.com,GDAQYYM35DUCPWM3WXNL343ISIGLNPWC5VLNNRYRJ4BHRZI7YCMWIYDX,4,Content Library Access (VOD),Very Good (4),Excellent (5),Very Good (4),Excellent (5),Very Good (4),I feel safe using this platform. The wallet integration is very smooth.,"Yes, definitely"
4/28/2026 13:07:19,John Jones,john.jones@hotmail.com,GAYICNUMTFF4KGVYVC4N42H7CDGC5AVMITUFGGHCBHQIXLQO5GB2UDAS,5,Real-time Streaming,Excellent (5),Very Good (4),Very Good (4),Excellent (5),Excellent (5),Excellent service. Very easy to use.,"Yes, definitely"
4/28/2026 13:07:58,Jennifer Garcia,jennifer.garcia@yahoo.com,GC5EWEZ7BCKVTV27BBWURACCNN74OXETYWTYXT3PGOXXMUIOJEAOQBF4,5,User Interface/Navigation,Excellent (5),Excellent (5),Very Good (4),Excellent (5),Excellent (5),Everything is perfect! No complaints at all.,"Yes, definitely"
4/28/2026 13:08:27,Michael Miller,michael.miller@gmail.com,GCT2MQV5RXU5PI5JIR7XED5PLGM3BCFVUT7J3VPNQFEEA2VKNMVLG7TC,4,Real-time Streaming,Very Good (4),Excellent (5),Excellent (5),Excellent (5),Good (3),The wallet integration is the best part. Very seamless.,"Yes, definitely"
4/28/2026 13:08:54,Linda Davis,linda.davis@outlook.com,GBK2MV2BGUIUIYQLOC3VEZHP53D4AO7IWRTJJH2WFWZ6D2HYVLAMXVP2,5,User Interface/Navigation,Excellent (5),Excellent (5),Excellent (5),Excellent (5),Excellent (5),Very satisfied with the platform. Highly recommended!,"Yes, definitely"
4/28/2026 13:09:27,William Rodriguez,william.rodriguez@gmail.com,GAM4WCTCCLU2EDVJJ5H7U4OOITDY2PB65FGZAFMAOFD76LI7ZDCZ7ATR,4,Real-time Streaming,Good (3),Excellent (5),Excellent (5),Excellent (5),Good (3),"The content is great, but the UI could be a bit more modern.","Yes, definitely"
4/28/2026 13:09:56,Elizabeth Martinez,elizabeth.martinez@yahoo.com,GAYCM4GBJG3J77WH2UEM7JA4UZ3CBGTGP2OHZHN6MWMQ5GYNQR4FLOQB,5,User Interface/Navigation,Excellent (5),Very Good (4),Excellent (5),Excellent (5),Excellent (5),I love the platform! It is very easy to use and navigate.,"Yes, definitely"
4/28/2026 13:10:23,David Hernandez,david.hernandez@hotmail.com,GDA6KCB4ONGM72QTEAOE3IGRLW7443XAUWT3EYB2ICENZW42THDXBX6U,4,Real-time Streaming,Very Good (4),Very Good (4),Very Good (4),Very Good (4),Very Good (4),Good platform overall. No major issues.,"Yes, definitely"
4/28/2026 13:11:02,Barbara Lopez,barbara.lopez@gmail.com,GDFEESYAIYAJSWOUAC2LZL6VKOTV4FMHFGLBYCD7LVLQHTJAK7SBGQGE,5,Real-time Streaming,Excellent (5),Very Good (4),Excellent (5),Excellent (5),Excellent (5),I really enjoy the content variety. The wallet integration is a huge plus!,"Yes, definitely"
4/28/2026 13:12:02,Richard Gonzalez,richard.gonzalez@yahoo.com,GBFAIH5WKAJQ77NG6BZG7TGVGXHPX4SQLIJ7BENJMCVCZSUZPSISCLU5,3,Real-time Streaming,Good (3),Excellent (5),Very Good (4),Good (3),Good (3),The security features seem robust. I would like to see more rewards though.,Maybe
4/28/2026 13:12:34,Susan Wilson,susan.wilson@outlook.com,GAIH3ULLFQ4DGSECF2AR555KZ4KNDGEKN4AFI4SU2M7B43MGK3QJZNSR,5,Content Library Access (VOD),Excellent (5),Excellent (5),Very Good (4),Excellent (5),Excellent (5),I love the platform! It is very easy to use and navigate.,"Yes, definitely"
4/28/2026 13:13:05,Joseph Anderson,joseph.anderson@gmail.com,GATXZXYXXG4ARRZC4G7KYK3OXQFSR4DWPXWJ7R6TEG3J6LPUFDV745EY,4,Content Library Access (VOD),Very Good (4),Excellent (5),Excellent (5),Excellent (5),Good (3),The wallet integration is very efficient. I like the concept.,"Yes, definitely"
4/28/2026 13:13:35,Jessica Thomas,jessica.thomas@yahoo.com,GAUNZRTAMAA2YNHACK7C6YRJ66Q4LU3MO4NLM5IUHEWFJYPFZMQVTHHF,5,User Interface/Navigation,Excellent (5),Very Good (4),Very Good (4),Excellent (5),Excellent (5),The platform is very user-friendly. I love the design!,"Yes, definitely"
4/28/2026 13:14:06,Thomas Taylor,thomas.taylor@hotmail.com,GC5HP3IRHO6EHJQF3AAPTJCTD7E7H7IA4THR4B3G4GPIS67M3KFMKDKT,4,Real-time Streaming,Very Good (4),Excellent (5),Excellent (5),Very Good (4),Very Good (4),The security features are very reassuring. I like the wallet integration.,"Yes, definitely"
4/28/2026 13:14:31,Sarah Moore,sarah.moore@gmail.com,GDC2FARLUU4UHGY3DWQW4DWSOPCDGI5TFMIKE4HEUFY4DS4QYCPLA7B6,5,Content Library Access (VOD),Excellent (5),Excellent (5),Excellent (5),Excellent (5),Excellent (5),The content is amazing! I really enjoy using the platform.,"Yes, definitely"
4/28/2026 13:15:03,Charles Jackson,charles.jackson@yahoo.com,GCHT7QGJH22UPY7IGKR45IFXT6Y5ZTNCPNQKQL5YHUV6LBLJKEOEJS4P,4,Content Library Access (VOD),Very Good (4),Very Good (4),Excellent (5),Very Good (4),Very Good (4),The platform is quite intuitive. I like how everything is organized.,"Yes, definitely"
4/28/2026 13:15:41,Karen Martin,karen.martin@outlook.com,GDMVY5CPSEY6IDQBEX7KMJSOVFNHMOMT5QY4MTOCSDFORV24AOFYDDGS,5,Content Library Access (VOD),Excellent (5),Excellent (5),Excellent (5),Excellent (5),Excellent (5),The security is top-notch. I feel very safe using StipeStream.,"Yes, definitely"
4/28/2026 13:16:10,Christopher Lee,christopher.lee@gmail.com,GCF2WGTHROHG2MK2BRC4CLMQPENFD4ZS4YGGLQHKNZCJ6BVR6PEU62FF,5,Real-time Streaming,Excellent (5),Very Good (4),Excellent (5),Excellent (5),Excellent (5),Everything is working perfectly. Very impressed with the testnet performance.,"Yes, definitely"
4/28/2026 13:16:41,Nancy Perez,nancy.perez@yahoo.com,GCDKPP3V4VIYNR5STCILS25I65KBM44TTJAIQ4HIBQFN2LEJ2HK5KLZX,4,Content Library Access (VOD),Very Good (4),Very Good (4),Excellent (5),Very Good (4),Very Good (4),Good service. I like the ease of use.,"Yes, definitely"
4/28/2026 13:17:13,Daniel Thompson,daniel.thompson@hotmail.com,GBDLCKC6VZ4GBQ4QOSB7LYYZLR4C7QHSXNZDNV2SNNBVOD2IXQDYHS3D,5,Real-time Streaming,Excellent (5),Excellent (5),Excellent (5),Excellent (5),Excellent (5),The wallet integration is flawless. Very satisfied.,"Yes, definitely"
4/28/2026 13:17:38,Lisa White,lisa.white@gmail.com,GCGEID4OYTFPAWVUETPYF6SUXABX6WVBITKO3ZPPQOI2LSVSYEAKU5S7,5,User Interface/Navigation,Excellent (5),Very Good (4),Very Good (4),Excellent (5),Excellent (5),The UI is very clean and modern. I enjoy browsing the content.,"Yes, definitely"
4/28/2026 13:18:01,Matthew Harris,matthew.harris@yahoo.com,GAC7HJ6F2ETDSUUGKDNQUUHBLK3GRETXYIVHE4ESHB2FHWX5QG2UOGI5,5,Real-time Streaming,Excellent (5),Very Good (4),Very Good (4),Excellent (5),Excellent (5),StipeStream is the best! The content and integration are top-notch.,"Yes, definitely"
